ID     | Command line                                                                                                                                                 | Date and time    | Action(s)      | Altered
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   209 | -y install --disablerepo=* /tmp/akmods.t2jhUvZG/results/kmod-nvidia-6.4.8-200.fc38.x86_64-535.86.05-1.fc38.x86_64.rpm                                        | 2023-08-09 08:33 | Install        |    1   
   208 | update                                                                                                                                                       | 2023-08-09 08:31 | C, E, I, U     |   37 EE
   207 |                                                                                                                                                              | 2023-08-08 10:11 | Install        |    1   
   206 | install cockpit-navigator                                                                                                                                    | 2023-08-08 10:04 | Install        |    1   
   205 | install cockpit-file-sharing                                                                                                                                 | 2023-08-08 10:03 | Install        |    2   
   204 | install cockpit-machines cockpit-selinux cockpit-sosreport                                                                                                   | 2023-08-08 10:02 | Install        |    1   
   203 | install cockpit                                                                                                                                              | 2023-08-08 10:00 | Install        |   10   
   202 | update                                                                                                                                                       | 2023-08-08 09:59 | Upgrade        |   16   
   201 | update                                                                                                                                                       | 2023-08-07 22:16 | Upgrade        |  110 EE
   200 | remove cockpit-machines                                                                                                                                      | 2023-08-07 22:14 | Removed        |    1   
   199 | remove podman                                                                                                                                                | 2023-08-07 22:13 | Removed        |    7   
   198 | install rdiff-backup                                                                                                                                         | 2023-08-07 21:52 | Install        |    3   
   197 | install xrdp xorg-x11-xinit-session                                                                                                                          | 2023-08-07 21:13 | Install        |    1   
   196 | remove cockpit                                                                                                                                               | 2023-08-03 16:19 | Removed        |   10 EE
   195 |                                                                                                                                                              | 2023-08-03 15:40 | Install        |    1   
   194 |                                                                                                                                                              | 2023-08-03 15:40 | Removed        |    1   
   193 | -y install --disablerepo=* /tmp/akmods.JEP3rZil/results/kmod-nvidia-6.4.7-200.fc38.x86_64-535.86.05-1.fc38.x86_64.rpm                                        | 2023-08-03 10:05 | Install        |    1   
   192 | update                                                                                                                                                       | 2023-08-03 10:02 | C, E, I, U     |   19 EE
   191 | -y install --disablerepo=* /tmp/akmods.U6BO24dF/results/kmod-nvidia-6.3.12-200.fc38.x86_64-535.86.05-1.fc38.x86_64.rpm                                       | 2023-08-02 12:10 | Install        |    1   
   190 | install xrdp tigervnc-server                                                                                                                                 | 2023-08-02 11:42 | Install        |    5   
   189 | autoremove                                                                                                                                                   | 2023-08-02 11:35 | Removed        |   50 EE
   188 | remove tigervnc-server                                                                                                                                       | 2023-08-02 11:33 | Removed        |    2 EE
   187 |                                                                                                                                                              | 2023-08-02 11:31 | Install        |    3   
   186 | remove xrdp                                                                                                                                                  | 2023-08-02 11:27 | Removed        |    2 EE
   185 |                                                                                                                                                              | 2023-08-02 11:19 | Upgrade        |    7   
   184 | update                                                                                                                                                       | 2023-08-01 09:51 | I, U           |   75 EE
   183 | downgrade mutter                                                                                                                                             | 2023-07-31 13:40 | Downgrade      |    1   
   182 | localinstall /home/halechr/Downloads/tartube-2.4.412-STRICT.rpm                                                                                              | 2023-07-31 01:54 | Install        |    1   
   181 | -y install qt-devel                                                                                                                                          | 2023-07-29 14:10 | Install        |    2   
   180 | history rollback 178                                                                                                                                         | 2023-07-29 10:49 | Removed        |   60   
   179 | --disablerepo=rpmfusion-nonfree* install cuda                                                                                                                | 2023-07-29 10:44 | Install        |   60   
   178 | install mpfr-devel gmp-devel libmpc-devel zlib-devel glibc-devel.i686 glibc-devel isl-devel g++ gcc-gnat gcc-gdc libgphobos-static                           | 2023-07-29 10:34 | Install        |   15   
   177 | groupinstall Development tools                                                                                                                               | 2023-07-29 10:33 | Install        |    1   
   176 | install freeglut freeglut-devel                                                                                                                              | 2023-07-29 10:27 | Install        |    1   
   175 | install gcc-c++ mesa-libGLU-devel libX11-devel libXi-devel libXmu-devel git                                                                                  | 2023-07-29 10:26 | Install        |    4   
   174 |                                                                                                                                                              | 2023-07-29 05:22 | Install        |    1   
   173 |                                                                                                                                                              | 2023-07-29 05:22 | Install        |    1   
   172 |                                                                                                                                                              | 2023-07-29 05:22 | Install        |   15   
   171 |                                                                                                                                                              | 2023-07-29 05:22 | Install        |    3   
   170 |                                                                                                                                                              | 2023-07-29 05:22 | Install        |    1   
   169 | install nvidia-vaapi-driver libva-utils vdpauinfo                                                                                                            | 2023-07-29 04:47 | Install        |    3   
   168 | -y install --disablerepo=* /tmp/akmods.MvklNfEC/results/kmod-nvidia-6.4.6-200.fc38.x86_64-535.86.05-1.fc38.x86_64.rpm                                        | 2023-07-29 04:47 | Install        |    1   
   167 | install akmod-nvidia xorg-x11-drv-nvidia-cuda                                                                                                                | 2023-07-29 04:44 | Install        |   27 EE
   166 | groupupdate core                                                                                                                                             | 2023-07-29 04:43 | Install        |    1   
   165 | groupupdate core                                                                                                                                             | 2023-07-29 04:42 | Install        |    1   
   164 | update                                                                                                                                                       | 2023-07-29 04:40 | Upgrade        |    1   
